policy,size_bytes,iters,avg_malloc_ns,avg_free_ns,overhead_bytes
FIRST_FIT,1,200000,46.3760,44.4657,32
FIRST_FIT,2,200000,43.1752,42.8393,32
FIRST_FIT,4,200000,43.1467,42.7855,32
FIRST_FIT,8,200000,43.1743,42.7068,32
FIRST_FIT,16,200000,43.2081,42.7239,32
FIRST_FIT,32,200000,43.2012,42.7926,32
FIRST_FIT,64,200000,43.2662,42.7618,32
FIRST_FIT,128,200000,43.2339,42.7154,32
FIRST_FIT,256,200000,43.2127,42.7616,32
FIRST_FIT,512,200000,43.1962,42.7424,32
FIRST_FIT,1024,200000,43.2370,42.7362,32
FIRST_FIT,2048,50000,43.2843,43.0629,32
FIRST_FIT,4096,50000,43.2361,42.9004,32
FIRST_FIT,8192,50000,43.2385,42.8363,32
FIRST_FIT,16384,50000,43.1847,42.7396,32
FIRST_FIT,32768,50000,43.2814,42.7184,32
FIRST_FIT,65536,50000,43.1873,42.6687,32
FIRST_FIT,131072,5000,43.0560,43.0082,32
FIRST_FIT,262144,5000,43.0528,42.6776,32
FIRST_FIT,524288,5000,43.0546,42.6682,32
FIRST_FIT,1048576,5000,43.0900,42.6742,32
FIRST_FIT,2097152,800,43.4113,42.6362,32
FIRST_FIT,4194304,800,43.3900,42.5637,32
FIRST_FIT,8388608,800,43.0575,42.6550,32
