policy,size_bytes,iters,avg_malloc_ns,avg_free_ns,overhead_bytes
WORST_FIT,1,200000,47.1219,45.0118,32
WORST_FIT,2,200000,45.0581,43.3549,32
WORST_FIT,4,200000,45.0903,43.4376,32
WORST_FIT,8,200000,44.9627,43.1744,32
WORST_FIT,16,200000,45.0736,43.1426,32
WORST_FIT,32,200000,45.0144,43.0809,32
WORST_FIT,64,200000,45.0960,43.1053,32
WORST_FIT,128,200000,44.9817,43.0910,32
WORST_FIT,256,200000,44.9321,43.1522,32
WORST_FIT,512,200000,44.9646,43.1170,32
WORST_FIT,1024,200000,44.9806,43.1234,32
WORST_FIT,2048,50000,45.1190,43.1538,32
WORST_FIT,4096,50000,45.1654,43.1377,32
WORST_FIT,8192,50000,44.9172,43.0868,32
WORST_FIT,16384,50000,44.8901,43.0700,32
WORST_FIT,32768,50000,45.0255,43.1061,32
WORST_FIT,65536,50000,45.0076,43.1070,32
WORST_FIT,131072,5000,44.8452,43.3944,32
WORST_FIT,262144,5000,45.0890,43.0318,32
WORST_FIT,524288,5000,44.8310,43.0338,32
WORST_FIT,1048576,5000,45.1412,43.0256,32
WORST_FIT,2097152,800,45.1100,43.0063,32
WORST_FIT,4194304,800,44.8450,43.0300,32
WORST_FIT,8388608,800,44.8162,43.0350,32
